Year	Grade	Subject	Low Income	Non-Low Income	AA	White
2014	GRADE 5	MATHEMATICS	42	79	41	82
2014	GRADE 5	SCIENCE	29	68	30	70
2014	GRADE 6	ENGLISH	45	82	44	82
2014	GRADE 6	MATHEMATICS	36	74	34	75
2014	GRADE 7	ENGLISH	56	77	47	82
2014	GRADE 7	MATHEMATICS	36	62	27	69
2014	GRADE 8	ENGLISH	62	88	58	87
2014	GRADE 8	MATHEMATICS	30	63	28	61
2014	GRADE 8	SCIENCE	16	55	13	55
2014	GRADE 10	ENGLISH	82	91	79	94
2014	GRADE 10	MATHEMATICS	73	86	70	90
2014	GRADE 10	SCIENCE	51	83	52	84
2014	ALL GRADES	ENGLISH	54	82	53	83
2014	ALL GRADES	MATHEMATICS	45	76	43	77
2014	ALL GRADES	SCIENCE	32	69	31	70
2015	GRADE 3	ENGLISH	45	76	48	77
2015	GRADE 3	MATHEMATICS	55	83	61	81
2015	GRADE 4	ENGLISH	50	71	48	75
2015	GRADE 4	MATHEMATICS	41	68	41	70
2015	GRADE 5	ENGLISH	56	77	56	88
2015	GRADE 5	MATHEMATICS	43	70	40	80
2015	GRADE 5	SCIENCE	29	65	28	77
2015	GRADE 6	ENGLISH	52	77	44	87
2015	GRADE 6	MATHEMATICS	38	65	31	76
2015	GRADE 7	ENGLISH	49	79	53	81
2015	GRADE 7	MATHEMATICS	28	62	21	71
2015	GRADE 8	ENGLISH	65	78	53	89
2015	GRADE 8	MATHEMATICS	44	60	32	75
2015	GRADE 8	SCIENCE	25	49	17	66
2015	GRADE 10	ENGLISH	80	91	78	96
2015	GRADE 10	MATHEMATICS	74	88	69	93
2015	GRADE 10	SCIENCE	53	80	48	87
2015	ALL GRADES	ENGLISH	57	79	55	84
2015	ALL GRADES	MATHEMATICS	46	72	42	79
2015	ALL GRADES	SCIENCE	35	65	31	77
2016	GRADE 5	SCIENCE	33	62	25	71
2016	GRADE 8	SCIENCE	14	47	12	57
2016	GRADE 10	ENGLISH	77	94	76	96
2016	GRADE 10	MATHEMATICS	67	83	63	90
2016	GRADE 10	SCIENCE	58	81	55	90
2016	ALL GRADES	SCIENCE	34	65	32	73
